Temperature,Pressure,v_f,v_g,u_f,u_g,h_f,h_g,s_f,s_g
0.01,0.6117,0.001000,206.00,0.00,2374.9,0.01,2500.9,0.0000,9.1549
5,0.8726,0.001000,147.03,21.02,2381.8,21.02,2510.1,0.0763,9.0249
10,1.2281,0.001000,106.32,42.02,2388.7,42.02,2519.2,0.1511,8.8997
15,1.7057,0.001001,77.88,62.98,2395.5,62.98,2528.3,0.2245,8.7803
20,2.3392,0.001002,57.76,83.91,2402.3,83.91,2537.4,0.2965,8.6661
25,3.1698,0.001003,43.34,104.83,2409.1,104.83,2546.5,0.3672,8.5567
30,4.2469,0.001004,32.88,125.73,2415.9,125.74,2555.6,0.4367,8.4520
40,7.3851,0.001008,19.52,167.53,2429.4,167.53,2573.5,0.5724,8.2556
50,12.352,0.001012,12.03,209.33,2442.7,209.34,2591.3,0.7038,8.0748
100,101.42,0.001043,1.6718,419.06,2506.1,419.17,2675.6,1.3072,7.3541
150,476.16,0.001091,0.3925,631.66,2559.1,632.18,2745.9,1.8418,6.8371
200,1554.9,0.001156,0.1272,850.64,2593.7,852.44,2792.0,2.3308,6.4302
